	0	90k_Plus
Glut.hyper.dmr.bed	25656	False
ACx_MEIS2_GABA.hyper.dmr.bed	3181	False
Astrocyte.hyper.dmr.bed	158107	True
CN_ST18_GABA.hyper.dmr.bed	71375	False
OPC.hyper.dmr.bed	50349	False
Pericyte.hyper.dmr.bed	115161	True
CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	71166	False
CN_MEIS2_GABA.hyper.dmr.bed	56635	False
BACKGROUND_noGlut.merged.bed	553178	True
CN_VIP_GABA.hyper.dmr.bed	77275	False
STR_Hybrid_MSN.hyper.dmr.bed	11480	False
STR_D1_MSN.hyper.dmr.bed	20395	False
CN_LHX8_GABA.hyper.dmr.bed	70837	False
F_GABA.hyper.dmr.bed	51879	False
Oligodendrocyte.hyper.dmr.bed	95514	True
F_M_GATA3_GABA.hyper.dmr.bed	81646	False
Microglia.hyper.dmr.bed	178491	True
Endo.hyper.dmr.bed	125443	True
Lymphocyte.hyper.dmr.bed	89578	False
STR_D2_MSN.hyper.dmr.bed	18323	False
VLMC.hyper.dmr.bed	96104	True
STR_SST-CHODL_GABA.hyper.dmr.bed	56162	False
F_M_Glut.hyper.dmr.bed	70259	False
CN_Cholinergic_GABA.hyper.dmr.bed	62120	False
CN_ONECUT1_GABA.hyper.dmr.bed	58898	False
SMC.hyper.dmr.bed	22472	False
F_Glut.hyper.dmr.bed	69421	False
M_Dopa.hyper.dmr.bed	76424	False
CN_LAMP5-LHX6_GABA.hyper.dmr.bed	52469	False
OT_Granular_GABA.hyper.dmr.bed	16943	False
SN_PAX7_GABA.hyper.dmr.bed	65815	False
CN_GABA-Glut.hyper.dmr.bed	28464	False
STR_RSPO2_GABA.hyper.dmr.bed	66534	False
