	0	90k_Plus
STR_D1_MSN.hypo.dmr.bed	208438	True
Endo.hypo.dmr.bed	301552	True
CN_GABA-Glut.hypo.dmr.bed	33713	False
F_M_GATA3_GABA.hypo.dmr.bed	162860	True
ACx_MEIS2_GABA.hypo.dmr.bed	65165	False
OT_Granular_GABA.hypo.dmr.bed	116880	True
BACKGROUND_noGlut.merged.bed	1766864	True
F_M_Glut.hypo.dmr.bed	17986	False
SMC.hypo.dmr.bed	89518	False
STR_Hybrid_MSN.hypo.dmr.bed	224563	True
CN_LHX8_GABA.hypo.dmr.bed	43636	False
CN_Cholinergic_GABA.hypo.dmr.bed	56355	False
CN_LAMP5-LHX6_GABA.hypo.dmr.bed	107974	True
CN_ONECUT1_GABA.hypo.dmr.bed	69271	False
Microglia.hypo.dmr.bed	231546	True
Oligodendrocyte.hypo.dmr.bed	240607	True
F_Glut.hypo.dmr.bed	61097	False
CN_MEIS2_GABA.hypo.dmr.bed	73654	False
F_GABA.hypo.dmr.bed	10790	False
CN_LAMP5-CXCL14_GABA.hypo.dmr.bed	167000	True
STR_RSPO2_GABA.hypo.dmr.bed	49497	False
OPC.hypo.dmr.bed	128975	True
M_Dopa.hypo.dmr.bed	61655	False
VLMC.hypo.dmr.bed	235230	True
Pericyte.hypo.dmr.bed	255121	True
CN_ST18_GABA.hypo.dmr.bed	116838	True
STR_D2_MSN.hypo.dmr.bed	218645	True
SN_PAX7_GABA.hypo.dmr.bed	32829	False
Astrocyte.hypo.dmr.bed	130046	True
STR_SST-CHODL_GABA.hypo.dmr.bed	71573	False
Lymphocyte.hypo.dmr.bed	187447	True
Glut.hypo.dmr.bed	220860	True
CN_VIP_GABA.hypo.dmr.bed	102419	True
