	0	90k_Plus
Pericyte.hyper.dmr.full.tsv.hyper.dmr.bed	496436	True
CN_LHX8_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	333574	True
STR_D2_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	237828	True
SN_PAX7_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	256338	True
OT_Granular_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	108505	True
BACKGROUND_noGlut.merged.bed	3062780	True
F_M_GATA3_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	464524	True
Astrocyte.hyper.dmr.full.tsv.hyper.dmr.bed	1213294	True
Glut.hyper.dmr.full.tsv.hyper.dmr.bed	193970	True
CN_VIP_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	348296	True
STR_SST-CHODL_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	265279	True
CN_MEIS2_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	267478	True
Oligodendrocyte.hyper.dmr.full.tsv.hyper.dmr.bed	1013902	True
CN_LAMP5-LHX6_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	154625	True
CN_ST18_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	410546	True
CN_ONECUT1_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	191666	True
M_Dopa.hyper.dmr.full.tsv.hyper.dmr.bed	281899	True
F_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	326062	True
CN_GABA-Glut.hyper.dmr.full.tsv.hyper.dmr.bed	80337	False
F_Glut.hyper.dmr.full.tsv.hyper.dmr.bed	365541	True
CN_LAMP5-CXCL14_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	312704	True
CN_Cholinergic_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	206560	True
ACx_MEIS2_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	13085	False
VLMC.hyper.dmr.full.tsv.hyper.dmr.bed	420557	True
Microglia.hyper.dmr.full.tsv.hyper.dmr.bed	849832	True
STR_RSPO2_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	276129	True
Endo.hyper.dmr.full.tsv.hyper.dmr.bed	487984	True
SMC.hyper.dmr.full.tsv.hyper.dmr.bed	72884	False
Lymphocyte.hyper.dmr.full.tsv.hyper.dmr.bed	272201	True
STR_D1_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	249875	True
OPC.hyper.dmr.full.tsv.hyper.dmr.bed	436769	True
F_M_Glut.hyper.dmr.full.tsv.hyper.dmr.bed	411216	True
STR_Hybrid_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	167013	True
